维度,分组值,持有天数,样本数,增量中位%,增量均值%,胜率%
市场状态,bull,5,7405,2.18,3.97,70.7
市场状态,sideways,5,10955,1.89,3.53,70.6
市场状态,sideways,10,10955,1.72,3.33,60.7
市场状态,bull,10,7405,1.59,4.02,59.1
市场状态,bull,20,7405,0.83,3.74,53.8
市场状态,sideways,20,10955,0.75,2.42,53.0
