信号名,持有天数,出场方式,触发次数,增量中位数%,增量均值%,增量正比例%
该跌不跌,5,ATR止损,3626,-0.4,0.3,46.2
该跌不跌,5,收盘出场,3626,-0.17,0.36,48.2
该跌不跌,10,ATR止损,3626,-1.82,-0.15,40.9
该跌不跌,10,收盘出场,3626,-0.8,-0.11,44.9
该跌不跌,20,ATR止损,3526,-3.18,-0.55,33.3
该跌不跌,20,收盘出场,3526,-1.98,-0.94,42.0
量价齐升,5,ATR止损,9300,-0.94,-0.11,42.7
量价齐升,5,收盘出场,9300,-0.57,-0.17,44.8
量价齐升,10,ATR止损,9270,-2.25,-0.36,38.3
量价齐升,10,收盘出场,9270,-1.11,-0.26,43.5
量价齐升,20,ATR止损,9045,-3.18,-0.43,33.2
量价齐升,20,收盘出场,9045,-1.79,-0.59,43.1
量增价跌,5,ATR止损,5014,-0.7,-0.14,42.6
量增价跌,5,收盘出场,5014,-0.49,-0.11,44.4
量增价跌,10,ATR止损,4993,-1.47,-0.14,41.2
量增价跌,10,收盘出场,4993,-0.54,-0.04,46.3
量增价跌,20,ATR止损,4871,-2.52,-0.47,33.4
量增价跌,20,收盘出场,4871,-1.59,-0.96,42.4
长阴短柱,5,ATR止损,128,-3.23,-2.64,31.2
长阴短柱,5,收盘出场,128,-2.51,-2.63,32.0
长阴短柱,10,ATR止损,128,-1.36,-1.73,39.8
长阴短柱,10,收盘出场,128,-0.24,0.06,46.9
长阴短柱,20,ATR止损,128,-4.59,-2.36,31.2
长阴短柱,20,收盘出场,128,-2.08,-0.41,43.0
高量柱,5,ATR止损,2162,-1.53,-0.42,39.3
高量柱,5,收盘出场,2162,-0.9,-0.71,42.2
高量柱,10,ATR止损,2154,-2.46,-0.32,35.6
高量柱,10,收盘出场,2154,-1.22,-0.19,42.9
高量柱,20,ATR止损,2122,-3.39,-0.29,30.6
高量柱,20,收盘出场,2122,-1.29,-0.02,44.3
黄金柱,5,ATR止损,409,1.59,2.99,67.5
黄金柱,5,收盘出场,409,1.67,2.95,68.2
黄金柱,10,ATR止损,408,1.14,3.06,57.4
黄金柱,10,收盘出场,408,1.28,2.94,59.3
黄金柱,20,ATR止损,399,-0.45,4.33,48.4
黄金柱,20,收盘出场,399,0.88,4.05,53.1
