ret,win,pos_pct,dist_to_high,dist_to_low,is_breakout,is_near_breakout,is_mid_high_pos
1.38,1,123.1,-5.78,30.81,True,False,True
7.74,1,24.4,55.14,17.77,False,False,False
-1.28,0,30.5,18.84,8.27,False,False,False
14.0,1,107.1,-2.48,37.13,True,False,True
11.01,1,29.9,46.74,19.95,False,False,False
0.73,1,71.5,11.57,29.07,False,False,True
8.24,1,97.0,1.58,51.71,False,True,True
-0.5,0,43.0,18.37,13.86,False,False,True
-1.98,0,90.0,3.24,29.2,False,True,True
2.53,1,73.9,9.0,25.43,False,False,True
-0.41,0,118.2,-5.7,36.96,True,False,True
35.08,1,103.3,-1.6,49.53,True,False,True
64.66,1,133.8,-16.68,66.02,True,False,True
4.11,1,74.5,12.8,37.44,False,False,True
1.56,1,102.3,-0.92,40.18,True,False,True
3.69,1,61.8,13.82,22.33,False,False,True
-1.44,0,91.7,2.87,31.93,False,True,True
24.04,1,102.9,-1.12,40.22,True,False,True
4.06,1,58.9,17.93,25.68,False,False,True
26.54,1,102.4,-0.93,39.07,True,False,True
1.74,1,86.6,5.56,35.98,False,False,True
-0.79,0,67.8,11.34,23.92,False,False,True
0.16,1,67.5,8.42,17.47,False,False,True
-0.66,0,33.3,28.95,14.47,False,False,False
