分组维度,分组值,持有天数,样本数,增量中位数%,增量均值%,胜率%
市场状态,bull,5,7406,2.18,3.97,70.7
市场状态,sideways,5,10960,1.89,3.53,70.6
市场状态,sideways,10,10960,1.72,3.32,60.7
市场状态,bull,10,7406,1.59,4.02,59.1
市场状态,bull,20,7406,0.83,3.75,53.8
市场状态,sideways,20,10960,0.75,2.42,53.0
