code,name,price,position,vol_ratio,pct_20d,stage,confidence,reasons,date
sz301200,大族数控,271.17,49.24805884756845,1.54015401540154,-3.843835324988467,建仓后期,46.666666666666664,"位置分位49.2%（中低位）, 当日涨4.75%, MA20之上, 价升量增",2026-09-18
sz300139,晓程科技,48.48,51.35393437400445,1.0915787986668628,-9.687034277198217,洗盘,85.71428571428571,位置分位51.4%（中位）,2026-09-18
sz300920,润阳科技,34.91,51.36436597110753,0.8441875213425045,3.4063981042653992,洗盘,66.66666666666666,位置分位51.4%（中位）,2026-09-18
sz002206,海 利 得,4.96,3.7850113550340523,0.6176361268724023,-4.798464491362764,建仓初期,100.0,"位置分位3.8%（极低位）, 低位缩量（量比0.62）, MA20之下（低位）, MA60之下（低位）, 连续3天缩量",2026-09-18
sz002620,*ST瑞和,5.79,26.83615819209039,1.2677282157108527,11.56069364161849,建仓后期,100.0,"位置分位26.8%（低位）, 低位涨11.6%, MA20之上, 价升量增",2026-09-18
sz300088,长信科技,7.23,22.424242424242433,0.9693102406525524,-1.09439124487003,建仓后期,87.5,"位置分位22.4%（低位）, MA20之上",2026-09-18
sz300385,ST雪浪,13.14,29.00158478605388,1.3090417780194847,5.967741935483872,建仓后期,100.0,"位置分位29.0%（低位）, 低位涨6.0%, 当日涨4.29%, MA20之上, 价升量增",2026-09-18
sz002058,紫竹高科,16.85,19.57270847691249,0.7204444793877925,3.18432333129212,建仓后期,87.5,"位置分位19.6%（低位）, MA20之上",2026-09-18
sz300966,共同药业,24.01,29.864253393665187,1.197412920319669,-4.608661104489472,建仓后期,87.5,"位置分位29.9%（低位）, MA20之上",2026-09-18
sz301295,美硕科技,36.78,34.112312521799794,0.8223623215279066,-4.393033532622817,建仓后期,50.0,位置分位34.1%（中低位）,2026-09-18
sz301560,众捷股份,23.7,13.522427440633239,1.177766086307521,4.681978798586567,建仓后期,87.5,"位置分位13.5%（低位）, MA20之上",2026-09-18
sz002237,恒邦股份,13.88,28.458976687859526,1.0543503938972816,-10.161812297734619,建仓后期,66.66666666666666,位置分位28.5%（低位）,2026-09-18
sz001367,海森药业,20.56,34.04178674351583,1.2265196772802858,-5.688073394495421,建仓后期,62.5,"位置分位34.0%（中低位）, MA20之上, 价升量增",2026-09-18
sz002382,蓝帆医疗,5.85,21.7391304347826,1.2441241565716412,-0.6791171477079803,建仓后期,75.0,位置分位21.7%（低位）,2026-09-18
sz002749,国光股份,8.36,26.682478505781187,1.053407573888504,0.23980815347721313,建仓后期,66.66666666666666,位置分位26.7%（低位）,2026-09-18
sz002508,老板电器,16.39,34.01162790697675,0.7552100142929595,1.297898640296668,建仓后期,57.14285714285714,"位置分位34.0%（中低位）, MA20之上",2026-09-18
sz301069,凯盛新材,16.16,17.3155737704918,0.7438483417909935,-0.3084515731030272,建仓后期,66.66666666666666,位置分位17.3%（低位）,2026-09-18
sz300044,*ST赛为,6.02,43.22429906542056,1.089678276843719,16.89320388349513,建仓后期,70.0,"位置分位43.2%（中低位）, 低位涨16.9%, MA20之上",2026-09-18
sz301101,明月镜片,29.79,30.550563633393224,1.6107991484132769,1.154499151103565,建仓后期,38.46153846153847,"位置分位30.6%（中低位）, MA20之上, 价升量增",2026-09-18
sz002636,金安国纪,80.86,54.95989650711513,0.7258631500149467,26.859115155318474,拉升,57.14285714285714,"20日大涨26.9%, MA20之上, MA60之上",2026-09-18
sz301018,申菱环境,105.02,60.43829133980253,1.3824482264718987,17.20982142857143,拉升,62.5,"20日大涨17.2%, MA20之上, MA60之上, 价升量增",2026-09-18
