维度,分组值,持有天数,样本数,增量中位%,增量均值%,胜率%
MA距离档,MA20下,5,912,2.54,4.04,73.0
MA距离档,MA20上,5,12445,2.21,4.21,69.6
MA距离档,MA20旁,5,5003,1.65,2.39,72.7
MA距离档,MA20下,10,912,2.69,4.02,66.1
MA距离档,MA20上,10,12445,1.65,4.06,58.9
MA距离档,MA20旁,10,5003,1.6,2.4,61.9
MA距离档,MA20下,20,912,1.35,2.55,55.3
MA距离档,MA20旁,20,5003,1.07,2.09,54.9
MA距离档,MA20上,20,12445,0.61,3.33,52.6
