维度,分组值,持有天数,样本数,增量中位%,增量均值%,胜率%
量Z档,爆量,5,10982,2.14,4.01,71.2
量Z档,放量,5,3840,1.81,3.54,69.4
量Z档,温和,5,3538,1.8,2.94,70.4
量Z档,爆量,10,10982,1.87,4.0,61.3
量Z档,放量,10,3840,1.49,3.36,58.7
量Z档,温和,10,3538,1.24,2.66,57.8
量Z档,爆量,20,10982,1.07,3.34,54.4
量Z档,温和,20,3538,0.45,1.84,51.8
量Z档,放量,20,3840,0.44,2.9,51.7
