code,name,base_date,confirm_date,ret,win,pos_pct,dist_to_high,dist_to_low,is_breakout,pos_zone,high_dist
sh600303,曙光股份,147,150,18.56,1,87.3,4.27,29.34,False,过峰(>85%),0-5%
sh688298,东方基因生物,18,21,5.1,1,129.9,-3.64,15.78,True,,已突破
sh603626,科森科技,102,105,1.28,1,25.8,72.98,25.36,False,低位(20-35%),>20%
sh603268,松发股份,400,403,5.92,1,100.5,-0.33,62.54,True,过峰(>85%),已突破
sh600455,博通股份,402,405,-1.07,0,84.4,3.2,17.32,False,高位(65-85%),0-5%
sh605178,时空科技,228,231,-19.15,0,109.3,-4.56,53.8,True,,已突破
sh600343,航天动力,391,394,-2.95,0,59.0,42.64,61.37,False,中位(35-65%),>20%
sh603117,万林物流,30,33,48.23,1,137.5,-9.06,33.22,True,,已突破
sh688347,华虹宏力半导体,228,231,6.01,1,92.9,2.86,37.21,False,过峰(>85%),0-5%
sh600808,马钢股份,265,268,-4.73,0,89.6,3.39,29.3,False,过峰(>85%),0-5%
sh600808,马钢股份,337,340,-1.56,0,92.4,2.05,25.11,False,过峰(>85%),0-5%
sh603679,华体科技,401,404,15.45,1,29.3,40.01,16.55,False,低位(20-35%),>20%
sh600802,福建水泥,273,276,21.66,1,82.6,6.03,28.62,False,高位(65-85%),5-10%
sh603392,万泰生物,109,112,-3.38,0,18.1,28.99,6.39,False,凹底(<20%),>20%
sh603378,*ST亚士,162,165,-5.96,0,42.8,24.13,18.06,False,中位(35-65%),>20%
sh603316,诚邦股份,163,166,3.16,1,81.6,8.51,37.69,False,高位(65-85%),5-10%
sh600638,新黄浦,326,329,4.48,1,86.2,3.02,18.86,False,过峰(>85%),0-5%
sh600365,ST通葡,123,126,-1.1,0,48.7,14.29,13.57,False,中位(35-65%),10-20%
sh600365,ST通葡,274,277,-2.9,0,64.2,8.68,15.57,False,中位(35-65%),5-10%
sh600601,方正科技,490,493,2.73,1,82.7,8.48,40.63,False,高位(65-85%),5-10%
sh688172,燕东微电子股份,301,304,-1.26,0,47.5,31.63,28.59,False,中位(35-65%),>20%
sh688068,热景生物,118,121,28.7,1,81.7,15.06,67.37,False,高位(65-85%),10-20%
sh601515,衢州东峰,20,23,-3.6,0,73.3,8.21,22.5,False,高位(65-85%),5-10%
sh688622,*ST禾信仪器,460,463,-2.49,0,50.6,39.28,40.31,False,中位(35-65%),>20%
sh600155,华创云信,234,237,-3.0,0,96.6,0.76,21.39,False,过峰(>85%),0-5%
sh688048,长光华芯,18,21,23.77,1,162.4,-6.97,18.14,True,,已突破
sh600405,动力源,289,292,-3.78,0,44.4,28.14,22.45,False,中位(35-65%),>20%
sh603843,*ST正平,282,285,26.32,1,86.3,7.31,46.21,False,过峰(>85%),5-10%
sh603843,*ST正平,302,305,26.44,1,107.3,-4.71,69.66,True,,已突破
sh605303,园林股份,425,428,-10.66,0,71.5,18.55,46.45,False,高位(65-85%),10-20%
sh600333,长春燃气,485,488,3.27,1,100.0,0.0,28.09,True,过峰(>85%),已突破
sh688458,美芯晟科技,43,46,-18.72,0,100.2,-0.1,50.0,True,过峰(>85%),已突破
sh600543,*ST莫高,151,154,-8.75,0,26.7,52.75,19.22,False,低位(20-35%),>20%
sh601933,永辉超市,34,37,20.43,1,108.0,-3.59,48.33,True,,已突破
sh600990,四创电子,17,20,35.61,1,96.4,0.64,16.99,False,过峰(>85%),0-5%
sh600166,福田汽车,156,159,1.21,1,56.7,11.15,14.62,False,中位(35-65%),10-20%
sh601111,中国国航,51,54,4.12,1,69.5,9.41,21.5,False,高位(65-85%),5-10%
sh601111,中国国航,234,237,-1.23,0,54.7,9.03,10.89,False,中位(35-65%),5-10%
sh603386,骏亚科技,30,33,3.46,1,64.1,11.0,19.64,False,中位(35-65%),10-20%
sh600593,大连圣亚,365,368,-12.23,0,23.8,63.88,19.92,False,低位(20-35%),>20%
sh603557,*ST起步,284,287,8.1,1,25.3,44.06,14.94,False,低位(20-35%),>20%
sh600708,光明地产,88,91,-2.84,0,74.5,19.6,57.32,False,高位(65-85%),10-20%
sh600708,光明地产,402,405,-3.18,0,47.6,22.4,20.31,False,中位(35-65%),>20%
sh600246,万通发展,161,164,-11.65,0,15.7,133.77,24.84,False,凹底(<20%),>20%
sh605199,ST葫芦娃,59,62,-12.88,0,119.4,-9.09,55.84,True,,已突破
sh603968,醋化股份,403,406,-5.73,0,24.9,44.07,14.61,False,低位(20-35%),>20%
sh688079,美迪凯股份,415,418,7.86,1,103.2,-1.79,57.78,True,,已突破
sh600340,*ST华幸,162,165,0.48,1,29.6,64.03,26.88,False,低位(20-35%),>20%
sh688004,北京博汇科技,17,20,34.75,1,102.4,-0.36,15.12,True,,已突破
sh603212,赛伍技术,423,426,2.74,1,58.8,20.04,28.61,False,中位(35-65%),>20%
sh600732,爱旭股份,18,21,-4.95,0,163.9,-8.33,21.37,True,,已突破
sh601519,大智慧,204,207,-8.12,0,126.0,-9.12,44.21,True,,已突破
sh600255,鑫科材料,226,229,17.4,1,79.0,9.5,35.75,False,高位(65-85%),5-10%
sh600538,国发股份,490,493,-8.98,0,35.1,39.59,21.39,False,中位(35-65%),>20%
sh688202,美迪西生物医药,252,255,-11.75,0,98.6,0.96,69.05,False,过峰(>85%),0-5%
sh600792,云煤能源,18,21,9.32,1,122.2,-2.38,13.1,True,,已突破
sh600664,哈药股份,472,475,-9.41,0,96.3,2.58,68.13,False,过峰(>85%),0-5%
sz300614,百川畅银,139,142,-9.29,0,75.8,9.8,30.66,False,高位(65-85%),5-10%
sz002702,海欣食品,66,69,-9.41,0,121.4,-9.15,51.86,True,,已突破
sz000820,神雾节能,287,290,0.73,1,103.1,-0.92,30.28,True,,已突破
sz300762,上海瀚讯,277,280,-4.76,0,54.2,17.53,20.76,False,中位(35-65%),10-20%
sz002214,大立科技,479,482,3.61,1,43.6,33.55,25.93,False,中位(35-65%),>20%
sz300011,鼎汉技术,285,288,2.04,1,78.7,4.35,16.06,False,高位(65-85%),0-5%
sz000785,居然智家,463,466,-2.4,0,34.5,31.17,16.45,False,低位(20-35%),>20%
sz300164,通源石油,358,361,15.82,1,121.4,-12.72,72.23,True,,已突破
sz000526,学大教育,397,400,-0.59,0,38.8,22.69,14.38,False,中位(35-65%),>20%
sz300317,珈伟新能,194,197,2.09,1,88.1,3.92,28.92,False,过峰(>85%),0-5%
sz000665,湖北广电,284,287,-3.08,0,79.9,6.72,26.72,False,高位(65-85%),5-10%
sz002355,兴民智通,365,368,-0.83,0,80.9,6.25,26.46,False,高位(65-85%),5-10%
sz300713,英可瑞,160,163,5.67,1,32.3,51.59,24.66,False,低位(20-35%),>20%
sz000002,万 科Ａ,254,257,-4.08,0,73.0,4.4,11.91,False,高位(65-85%),0-5%
sz000590,古汉医药,200,203,15.95,1,97.7,1.05,45.08,False,过峰(>85%),0-5%
sz300299,富春股份,402,405,-4.13,0,15.1,51.91,9.24,False,凹底(<20%),>20%
sz002848,高斯贝尔,355,358,-9.75,0,88.9,5.27,42.41,False,过峰(>85%),5-10%
sz002291,遥望科技,402,405,-5.5,0,23.6,36.07,11.14,False,低位(20-35%),>20%
sz002796,世嘉科技,122,125,1.12,1,60.9,23.7,36.93,False,中位(35-65%),>20%
sz002796,世嘉科技,468,471,2.65,1,18.2,117.56,26.19,False,凹底(<20%),>20%
sz301307,美利信,363,366,0.38,1,71.1,14.9,36.74,False,高位(65-85%),10-20%
sz300647,超频三,277,280,-3.97,0,61.3,15.66,24.86,False,中位(35-65%),10-20%
sz300647,超频三,468,471,2.23,1,44.2,27.67,21.89,False,中位(35-65%),>20%
sz002921,联诚精密,337,340,-0.79,0,106.3,-2.34,39.46,True,,已突破
sz002445,中南文化,75,78,3.15,1,94.3,2.32,38.22,False,过峰(>85%),0-5%
sz000632,ST三木,182,185,-4.42,0,58.8,22.76,32.48,False,中位(35-65%),>20%
sz000632,ST三木,288,291,6.81,1,124.2,-9.13,46.88,True,,已突破
sz300449,汉邦高科,398,401,28.26,1,32.8,24.63,12.04,False,低位(20-35%),>20%
sz300958,建工修复,480,483,-0.94,0,55.9,16.88,21.43,False,中位(35-65%),10-20%
sz301096,百诚医药,408,411,4.19,1,86.4,4.55,28.9,False,过峰(>85%),0-5%
sz002309,中利集团,357,360,-3.07,0,48.4,22.25,20.85,False,中位(35-65%),>20%
sz002583,海能达,35,38,-5.35,0,112.0,-9.09,84.9,True,,已突破
sz300528,幸福蓝海,489,492,-6.35,0,31.0,29.46,13.23,False,低位(20-35%),>20%
sz300205,*ST天喻,215,218,9.42,1,82.7,10.1,48.45,False,高位(65-85%),10-20%
sz300686,智动力,386,389,-5.09,0,83.5,5.77,29.18,False,高位(65-85%),5-10%
sz002682,龙洲股份,291,294,-24.8,0,129.8,-9.12,39.69,True,,已突破
sz002021,中捷资源,338,341,-4.08,0,97.2,0.89,31.25,False,过峰(>85%),0-5%
sz000586,汇源通信,158,161,2.91,1,28.5,54.66,21.8,False,低位(20-35%),>20%
sz000877,天山股份,463,466,-0.84,0,14.5,48.7,8.29,False,凹底(<20%),>20%
sz301040,中环海陆,466,469,7.21,1,26.0,70.34,24.65,False,低位(20-35%),>20%
sz300853,申昊科技,465,468,4.48,1,37.9,54.97,33.61,False,中位(35-65%),>20%
sz002289,宇顺电子,163,166,26.6,1,107.9,-4.76,64.9,True,,已突破
sz002105,信隆健康,350,353,1.18,1,26.7,38.26,13.96,False,低位(20-35%),>20%
sz002902,铭普光磁,30,33,0.55,1,105.6,-1.56,29.6,True,,已突破
sz002902,铭普光磁,182,185,3.77,1,44.0,33.26,26.17,False,中位(35-65%),>20%
