维度,分组值,持有天数,样本数,增量中位%,增量均值%,胜率%
市值档,大盘,5,634,3.51,5.04,69.6
市值档,中盘,5,1856,2.4,3.81,69.9
市值档,小盘,5,15870,1.93,3.64,70.8
市值档,大盘,10,634,3.08,5.17,57.9
市值档,中盘,10,1856,1.9,3.76,60.2
市值档,小盘,10,15870,1.62,3.53,60.1
市值档,小盘,20,15870,0.89,3.0,53.8
市值档,中盘,20,1856,0.32,2.76,51.2
市值档,大盘,20,634,-1.02,2.33,47.9
