维度,分组值,持有天数,样本数,增量中位%,增量均值%,胜率%
波动率档,高波动,5,5275,3.42,5.74,70.5
波动率档,中波动,5,9440,1.94,3.22,69.6
波动率档,低波动,5,3645,1.33,2.02,73.4
波动率档,高波动,10,5275,2.02,5.11,57.8
波动率档,中波动,10,9440,1.72,3.29,60.3
波动率档,低波动,10,3645,1.39,2.24,62.9
波动率档,低波动,20,3645,1.26,2.87,57.9
波动率档,中波动,20,9440,0.97,3.11,53.8
波动率档,高波动,20,5275,-0.3,2.74,49.3
