signal,ret,win,pos_pct,dist_to_high,dist_to_low,dist_to_yin_top,pos_zone
价升量缩,7.46,1,57.5,8.44,11.41,-0.06,中位
缩量回踩,11.91,1,57.2,8.5,11.36,0.0,中位
价升量缩,51.24,1,78.5,5.04,18.39,-7.93,高位
价升量缩,59.96,1,95.7,0.96,21.57,-11.52,过峰
价升量缩,9.82,1,105.0,-3.09,64.51,-6.31,过峰
倍量柱,-26.84,0,114.8,-9.08,70.67,-22.57,过峰
价升量缩,1.47,1,58.4,43.95,61.59,15.01,中位
价升量缩,-6.14,0,51.0,56.12,58.34,-1.07,中位
价升量缩,5.95,1,37.4,84.88,50.67,0.03,中位
价升量缩,13.6,1,37.6,84.35,50.81,0.44,中位
价升量缩,2.76,1,42.6,72.7,53.92,-5.91,中位
倍量柱,2.11,1,46.1,65.29,55.89,-9.94,中位
高量柱,2.11,1,46.1,65.29,55.89,-9.94,中位
将军柱,2.11,1,46.1,65.29,55.89,-9.94,中位
高量柱,4.67,1,48.5,60.73,57.11,-12.43,中位
倍量柱,-3.47,0,48.8,60.15,57.26,-0.94,中位
高量柱,-3.47,0,48.8,60.15,57.26,-0.94,中位
将军柱,-3.47,0,48.8,60.15,57.26,-0.94,中位
高量柱,-8.49,0,53.4,51.96,59.45,-6.01,中位
价升量缩,-5.58,0,46.8,64.04,56.23,2.2,中位
缩量回踩,-5.3,0,46.7,64.08,56.22,2.23,中位
缩量回踩,-0.16,0,46.3,64.97,55.98,1.19,中位
价升量缩,-6.94,0,22.3,65.21,18.66,0.27,低位
倍量柱,-3.65,0,24.3,53.37,17.14,-4.42,低位
高量柱,-3.65,0,24.3,53.37,17.14,-4.42,低位
倍量柱,-2.06,0,32.8,34.46,16.8,-5.16,低位
高量柱,-2.06,0,32.8,34.46,16.8,-5.16,低位
将军柱,-2.06,0,32.8,34.46,16.8,-5.16,低位
价升量缩,0.91,1,29.6,36.65,15.45,-3.61,低位
价升量缩,-2.54,0,31.7,35.2,16.35,-4.64,低位
价升量缩,-3.8,0,32.3,34.78,16.6,-0.51,低位
价升量缩,-1.48,0,29.7,36.61,15.48,1.01,低位
缩量回踩,1.27,1,28.7,37.32,15.03,0.21,低位
价升量缩,1.3,1,29.0,37.13,15.15,0.07,低位
缩量回踩,0.59,1,30.4,36.13,15.77,-0.66,低位
价升量缩,-1.58,0,33.6,33.91,17.14,-2.28,低位
缩量回踩,-1.24,0,33.6,33.87,17.17,0.07,低位
价升量缩,-3.08,0,32.6,34.55,16.75,-0.89,低位
价升量缩,-0.56,0,34.5,33.28,17.54,-0.37,低位
价升量缩,1.06,1,35.0,32.92,17.76,-0.91,中位
价升量缩,4.84,1,42.2,23.68,17.26,0.78,中位
倍量柱,1.64,1,49.0,20.32,19.5,-1.95,中位
高量柱,1.64,1,49.0,20.32,19.5,-1.95,中位
将军柱,1.64,1,49.0,20.32,19.5,-1.95,中位
价升量缩,0.57,1,51.0,19.38,20.13,-2.72,中位
价升量缩,-4.08,0,56.4,16.85,21.82,-4.78,中位
倍量柱,-1.83,0,22.7,17.86,5.23,-3.4,低位
高量柱,-1.83,0,22.7,17.86,5.23,-3.4,低位
将军柱,-1.83,0,22.7,17.86,5.23,-3.4,低位
价升量缩,-0.32,0,18.9,18.91,4.39,0.66,凹底
价升量缩,-0.36,0,19.5,18.73,4.54,0.52,凹底
百日低量,-0.36,0,19.5,18.73,4.54,0.52,凹底
价升量缩,0.59,1,11.4,26.87,3.47,-1.5,凹底
价升量缩,12.57,1,15.3,25.39,4.6,0.08,凹底
倍量柱,-1.76,0,56.4,11.65,15.05,-8.56,中位
高量柱,-1.76,0,56.4,11.65,15.05,-8.56,中位
将军柱,-1.76,0,56.4,11.65,15.05,-8.56,中位
倍量过左峰,-1.76,0,56.4,11.65,15.05,-8.56,中位
价升量缩,-5.69,0,63.8,9.49,16.7,4.86,中位
价升量缩,-7.11,0,64.0,9.41,16.75,4.79,中位
价升量缩,-3.7,0,46.2,14.75,12.69,0.78,中位
缩量回踩,-3.52,0,41.0,16.41,11.42,1.59,中位
缩量回踩,-1.38,0,48.7,13.98,13.27,0.39,中位
缩量回踩,-7.99,0,47.7,14.31,13.03,0.99,中位
缩量回踩,-5.58,0,49.9,13.62,13.55,0.21,中位
高量柱,-4.28,0,43.9,14.64,11.46,-3.58,中位
高量柱,-3.28,0,49.0,13.12,12.62,-4.85,中位
倍量柱,12.86,1,29.4,25.47,10.6,-2.45,低位
高量柱,12.86,1,29.4,25.47,10.6,-2.45,低位
将军柱,12.86,1,29.4,25.47,10.6,-2.45,低位
倍量柱,3.5,1,57.1,14.06,18.73,-11.33,中位
高量柱,3.5,1,57.1,14.06,18.73,-11.33,中位
将军柱,3.5,1,57.1,14.06,18.73,-11.33,中位
倍量柱,-6.67,0,86.6,4.0,25.9,-19.15,过峰
高量柱,-6.67,0,86.6,4.0,25.9,-19.15,过峰
将军柱,-6.67,0,86.6,4.0,25.9,-19.15,过峰
价升量缩,2.92,1,71.2,9.04,22.31,0.62,高位
价升量缩,1.52,1,74.0,8.07,23.0,-0.27,高位
价升量缩,2.14,1,84.0,4.82,25.31,-2.15,高位
价升量缩,1.97,1,88.0,3.78,27.66,0.45,过峰
价升量缩,18.33,1,83.8,5.16,26.69,-1.98,高位
价升量缩,1.5,1,75.1,8.54,25.73,4.86,高位
价升量缩,7.46,1,47.4,29.67,26.72,-4.67,中位
价升量缩,13.62,1,60.7,20.63,31.83,-11.31,中位
倍量柱,-0.82,0,77.1,11.08,37.22,-18.33,高位
高量柱,-0.82,0,77.1,11.08,37.22,-18.33,高位
将军柱,-0.82,0,77.1,11.08,37.22,-18.33,高位
价升量缩,-0.26,0,88.7,5.15,40.57,999.0,过峰
价升量缩,-6.59,0,98.4,0.71,43.09,999.0,过峰
缩量回踩,-16.02,0,83.9,7.65,39.78,0.45,高位
缩量回踩,2.48,1,23.9,60.64,19.09,-14.67,低位
缩量回踩,-3.14,0,23.5,61.21,18.79,3.99,低位
缩量回踩,-9.2,0,28.4,55.09,21.88,1.04,低位
缩量回踩,-3.47,0,20.5,65.17,16.8,4.37,低位
价升量缩,-1.79,0,21.6,63.7,17.54,0.08,低位
缩量回踩,7.04,1,19.3,66.87,15.94,2.44,凹底
倍量柱,-4.73,0,29.1,54.32,22.27,-7.72,低位
高量柱,-4.73,0,29.1,54.32,22.27,-7.72,低位
将军柱,-4.73,0,29.1,54.32,22.27,-7.72,低位
缩量回踩,0.3,1,43.9,25.85,20.23,4.68,中位
价升量缩,-1.44,0,48.5,23.25,21.88,2.52,中位
缩量回踩,4.85,1,44.4,25.55,20.42,1.05,中位
价升量缩,2.16,1,44.9,25.26,20.61,0.81,中位
倍量柱,12.73,1,67.3,13.62,27.98,-4.96,高位
将军柱,12.73,1,67.3,13.62,27.98,-4.96,高位
高量柱,6.19,1,81.2,7.39,31.94,-10.18,高位
价升量缩,-2.26,0,88.6,4.36,33.85,-1.55,过峰
价升量缩,-13.27,0,114.7,-5.11,39.86,-10.49,过峰
缩量回踩,-3.81,0,55.6,25.2,31.53,1.31,中位
价升量缩,0.7,1,66.0,18.2,35.36,-8.25,高位
倍量柱,-6.87,0,84.8,7.41,41.26,-16.62,高位
将军柱,-6.87,0,84.8,7.41,41.26,-16.62,高位
倍量柱,-7.56,0,120.6,-9.07,53.13,-21.1,过峰
将军柱,-7.56,0,120.6,-9.07,53.13,-21.1,过峰
倍量过左峰,-7.56,0,120.6,-9.07,53.13,-21.1,过峰
价升量缩,-20.53,0,118.9,-9.12,57.4,-28.29,过峰
高量柱,-30.68,0,92.5,4.82,59.4,-31.67,过峰
缩量回踩,-22.26,0,66.1,28.11,54.89,999.0,高位
缩量回踩,-13.0,0,54.1,42.32,49.89,999.0,中位
价升量缩,-0.17,0,31.1,80.69,36.38,-2.61,低位
价升量缩,-7.72,0,34.7,73.26,39.0,0.36,低位
价升量缩,-5.6,0,32.5,77.71,37.43,1.19,低位
倍量柱,-12.88,0,33.6,75.45,38.22,-3.71,低位
高量柱,-12.88,0,33.6,75.45,38.22,-3.71,低位
缩量回踩,-8.87,0,26.4,88.06,31.55,0.29,低位
价升量缩,-0.26,0,13.6,103.89,16.42,3.79,凹底
缩量回踩,-3.02,0,12.7,106.28,15.44,1.6,凹底
价升量缩,-1.86,0,11.5,109.41,14.16,0.65,凹底
倍量柱,-0.79,0,14.5,101.77,17.29,-3.33,凹底
高量柱,-0.79,0,14.5,101.77,17.29,-3.33,凹底
价升量缩,1.08,1,14.8,101.14,17.55,-3.01,凹底
价升量缩,1.89,1,15.3,99.9,18.06,-3.61,凹底
百日低量,-3.64,0,26.5,53.66,19.31,0.1,低位
倍量柱,-6.31,0,36.0,36.37,20.44,-1.3,中位
价升量缩,-4.8,0,36.6,31.86,18.4,1.23,中位
缩量回踩,-1.95,0,41.8,21.79,15.62,0.64,中位
缩量回踩,-3.32,0,43.4,20.76,15.89,0.32,中位
百日低量,-3.32,0,43.4,20.76,15.89,0.32,中位
价升量缩,-1.42,0,41.3,21.66,15.26,0.75,中位
缩量回踩,1.04,1,40.5,22.06,14.99,0.86,中位
百日低量,1.04,1,40.5,22.06,14.99,0.86,中位
倍量柱,3.9,1,48.0,18.75,17.29,-0.83,中位
高量柱,3.9,1,48.0,18.75,17.29,-0.83,中位
将军柱,3.9,1,48.0,18.75,17.29,-0.83,中位
高量柱,-1.7,0,57.8,14.69,20.12,-4.23,中位
价升量缩,-0.9,0,67.7,10.12,21.23,0.0,高位
倍量柱,1.22,1,89.9,2.97,26.35,-6.68,过峰
高量柱,1.22,1,89.9,2.97,26.35,-6.68,过峰
将军柱,1.22,1,89.9,2.97,26.35,-6.68,过峰
价升量缩,5.94,1,85.8,4.23,25.45,1.13,过峰
高量柱,-0.83,0,99.4,0.18,28.34,-2.8,过峰
价升量缩,-3.62,0,92.9,2.16,28.4,-2.89,过峰
倍量柱,-11.71,0,94.5,1.75,30.35,-3.25,过峰
高量柱,-11.71,0,94.5,1.75,30.35,-3.25,过峰
缩量回踩,3.6,1,63.3,11.65,20.11,1.13,中位
缩量回踩,3.91,1,61.5,12.29,19.66,0.76,中位
价升量缩,0.17,1,74.9,7.71,22.94,-3.35,高位
价升量缩,-3.97,0,78.1,6.64,23.7,-1.35,高位
价升量缩,6.24,1,78.0,6.36,22.56,-0.72,高位
倍量柱,11.97,1,81.4,4.95,21.64,-4.06,高位
高量柱,11.97,1,81.4,4.95,21.64,-4.06,高位
将军柱,11.97,1,81.4,4.95,21.64,-4.06,高位
高量柱,16.43,1,103.3,-0.83,25.96,-9.35,过峰
倍量柱,5.39,1,97.7,0.65,28.0,-1.38,过峰
高量柱,5.39,1,97.7,0.65,28.0,-1.38,过峰
黄金柱,5.39,1,97.7,0.65,28.0,-1.38,过峰
价升量缩,5.41,1,89.8,3.45,30.43,-4.71,过峰
价升量缩,4.06,1,87.7,4.3,30.7,-5.08,过峰
价升量缩,-4.58,0,113.8,-4.47,37.0,-13.71,过峰
缩量回踩,-8.24,0,76.0,10.71,34.0,3.05,高位
缩量回踩,-6.8,0,73.9,11.54,32.61,0.75,高位
价升量缩,4.27,1,71.5,12.64,31.72,-4.77,高位
价升量缩,3.19,1,76.8,10.06,33.28,-6.95,高位
价升量缩,-15.83,0,72.6,13.29,35.2,2.37,高位
价升量缩,-12.6,0,76.4,11.21,36.39,0.49,高位
倍量柱,-8.42,0,34.6,37.37,19.77,-4.18,低位
高量柱,-8.42,0,34.6,37.37,19.77,-4.18,低位
将军柱,-8.42,0,34.6,37.37,19.77,-4.18,低位
价升量缩,-5.0,0,31.6,39.8,18.35,1.68,低位
价升量缩,-7.4,0,17.0,55.22,11.32,-9.06,凹底
价升量缩,-2.38,0,17.3,54.91,11.49,-2.06,凹底
价升量缩,-3.27,0,16.9,55.37,11.23,0.3,凹底
缩量回踩,-2.58,0,16.4,55.83,10.97,0.59,凹底
百日低量,-2.58,0,16.4,55.83,10.97,0.59,凹底
价升量缩,-4.18,0,15.4,56.92,10.35,1.0,凹底
价升量缩,-0.5,0,14.2,58.17,9.63,-0.2,凹底
倍量柱,-0.43,0,21.2,51.05,13.7,-3.93,低位
高量柱,-0.43,0,21.2,51.05,13.7,-3.93,低位
将军柱,-0.43,0,21.2,51.05,13.7,-3.93,低位
价升量缩,-3.28,0,22.5,49.76,14.43,-4.75,低位
价升量缩,-4.11,0,24.0,48.35,15.24,-5.64,低位
价升量缩,-5.46,0,22.8,49.48,14.6,0.09,低位
缩量回踩,-5.1,0,22.2,50.05,14.27,0.29,低位
价升量缩,-3.62,0,19.2,52.96,12.61,1.65,凹底
缩量回踩,-6.67,0,18.2,54.0,12.01,1.27,凹底
价升量缩,-7.86,0,17.8,54.46,11.75,-0.1,凹底
高量柱,-9.14,0,19.8,38.3,9.46,-4.85,凹底
高量柱,-8.31,0,23.3,36.05,10.93,-6.4,低位
倍量柱,3.65,1,24.3,35.3,11.34,-8.68,低位
高量柱,3.65,1,24.3,35.3,11.34,-8.68,低位
价升量缩,-0.99,0,32.8,30.18,14.7,-12.14,低位
价升量缩,4.89,1,33.5,29.74,14.98,-0.55,低位
价升量缩,8.84,1,34.5,29.17,15.36,-0.11,低位
缩量回踩,6.35,1,34.0,28.7,14.79,0.67,低位
价升量缩,4.87,1,51.4,18.74,19.79,-5.24,中位
价升量缩,-5.72,0,68.2,10.74,23.09,-1.61,高位
价升量缩,-0.26,0,58.6,13.68,19.37,-0.95,中位
倍量柱,-4.98,0,75.8,7.57,23.71,-2.49,高位
高量柱,-4.98,0,75.8,7.57,23.71,-2.49,高位
将军柱,-4.98,0,75.8,7.57,23.71,-2.49,高位
倍量柱,-10.51,0,94.6,1.6,27.94,-7.9,过峰
高量柱,-10.51,0,94.6,1.6,27.94,-7.9,过峰
倍量过左峰,-10.51,0,94.6,1.6,27.94,-7.9,过峰
价升量缩,-3.3,0,96.8,0.49,14.56,-7.32,过峰
价升量缩,10.24,1,52.3,11.92,13.08,11.92,中位
价升量缩,10.21,1,50.3,12.48,12.65,1.41,中位
倍量柱,3.22,1,58.6,10.19,14.43,-0.65,中位
倍量柱,0.42,1,89.4,2.42,20.45,-7.65,过峰
高量柱,0.42,1,89.4,2.42,20.45,-7.65,过峰
价升量缩,1.51,1,72.9,8.06,21.64,-0.15,高位
高量柱,-6.88,0,88.4,3.28,25.11,-4.99,过峰
价升量缩,-2.24,0,68.1,9.61,20.51,1.36,高位
缩量回踩,-1.55,0,69.1,9.28,20.75,3.4,高位
价升量缩,-0.09,0,85.2,4.25,24.41,-3.89,过峰
价升量缩,4.63,1,82.6,5.23,24.84,-2.65,高位
价升量缩,7.81,1,84.0,4.78,25.16,-3.06,高位
倍量柱,-2.51,0,100.9,-0.27,29.48,-1.28,过峰
高量柱,-2.51,0,100.9,-0.27,29.48,-1.28,过峰
将军柱,-2.51,0,100.9,-0.27,29.48,-1.28,过峰
倍量过左峰,-2.51,0,100.9,-0.27,29.48,-1.28,过峰
高量柱,8.24,1,97.3,0.81,28.91,-0.47,过峰
价升量缩,15.2,1,91.6,2.88,31.28,-3.8,过峰
缩量回踩,21.52,1,73.5,10.29,28.47,1.5,高位
价升量缩,-6.25,0,28.4,54.81,21.7,0.37,低位
缩量回踩,-5.2,0,28.3,54.93,21.64,0.07,低位
缩量回踩,-2.37,0,28.2,55.04,21.58,0.15,低位
价升量缩,3.84,1,27.9,55.39,21.41,-0.6,低位
价升量缩,7.1,1,29.5,53.44,22.39,-1.26,低位
倍量柱,-0.83,0,40.2,42.0,28.18,-6.5,中位
高量柱,-0.83,0,40.2,42.0,28.18,-6.5,中位
将军柱,-0.83,0,40.2,42.0,28.18,-6.5,中位
价升量缩,-0.14,0,40.4,41.8,28.28,-6.63,中位
价升量缩,-2.38,0,41.9,40.27,29.05,-7.64,中位
缩量回踩,1.3,1,40.1,42.09,28.13,0.96,中位
缩量回踩,3.62,1,36.0,46.3,26.0,2.89,中位
价升量缩,0.53,1,41.4,40.75,28.81,-1.02,中位
缩量回踩,-4.8,0,42.5,39.7,29.34,0.81,中位
价升量缩,-5.12,0,43.2,39.05,29.67,0.33,中位
价升量缩,6.82,1,17.7,67.83,14.55,-3.4,凹底
价升量缩,-0.87,0,25.3,57.87,19.62,-1.29,低位
倍量柱,-0.04,0,25.9,57.15,19.98,-1.74,低位
高量柱,-0.04,0,25.9,57.15,19.98,-1.74,低位
将军柱,-0.04,0,25.9,57.15,19.98,-1.74,低位
价升量缩,-0.5,0,27.3,55.51,20.82,-2.77,低位
倍量柱,-1.7,0,28.1,54.58,21.3,-0.07,低位
高量柱,-1.7,0,28.1,54.58,21.3,-0.07,低位
价升量缩,-2.29,0,28.7,53.89,21.65,-0.52,低位
价升量缩,-3.5,0,27.3,55.51,20.82,-1.05,低位
缩量回踩,-0.34,0,26.2,56.8,20.17,0.83,低位
价升量缩,2.6,1,26.4,56.56,20.29,0.98,低位
缩量回踩,-5.98,0,30.9,51.31,22.96,1.31,低位
缩量回踩,-2.2,0,29.6,52.76,22.22,0.29,低位
价升量缩,0.46,1,62.0,13.1,21.35,-2.31,中位
倍量柱,-2.17,0,73.9,8.65,24.45,-2.29,高位
高量柱,-2.17,0,73.9,8.65,24.45,-2.29,高位
价升量缩,-2.1,0,75.6,8.03,24.88,-2.84,高位
价升量缩,3.05,1,73.2,8.88,24.28,0.79,高位
价升量缩,2.55,1,73.9,8.65,24.45,-0.86,高位
倍量柱,-2.2,0,85.7,4.54,27.3,-4.61,过峰
高量柱,-2.2,0,85.7,4.54,27.3,-4.61,过峰
倍量过左峰,-2.2,0,85.7,4.54,27.3,-4.61,过峰
价升量缩,-2.27,0,86.0,4.47,27.35,-0.96,过峰
价升量缩,-1.45,0,82.7,5.56,26.6,0.69,高位
价升量缩,-3.99,0,85.1,4.76,27.15,-0.69,过峰
倍量柱,-1.1,0,67.9,10.11,21.41,-3.49,高位
高量柱,-1.1,0,67.9,10.11,21.41,-3.49,高位
将军柱,-1.1,0,67.9,10.11,21.41,-3.49,高位
价升量缩,-3.18,0,59.8,9.87,14.69,-1.78,中位
价升量缩,14.38,1,60.4,9.7,14.81,-3.04,中位
价升量缩,16.57,1,64.7,8.58,15.69,-4.03,中位
倍量柱,4.9,1,105.7,-1.27,23.33,-12.73,过峰
高量柱,4.9,1,105.7,-1.27,23.33,-12.73,过峰
将军柱,4.9,1,105.7,-1.27,23.33,-12.73,过峰
倍量过左峰,4.9,1,105.7,-1.27,23.33,-12.73,过峰
高量柱,-1.88,0,111.4,-2.6,25.32,-15.0,过峰
价升量缩,-4.11,0,105.5,-1.44,27.9,-17.93,过峰
价升量缩,-2.91,0,99.0,0.25,25.67,-0.93,过峰
价升量缩,1.42,1,78.5,6.27,22.88,2.78,高位
缩量回踩,1.18,1,84.9,4.31,24.3,1.71,高位
价升量缩,-1.41,0,88.0,3.4,24.97,0.82,过峰
缩量回踩,0.61,1,86.5,3.85,24.64,1.26,过峰
缩量回踩,-4.88,0,90.1,2.85,25.99,0.31,过峰
缩量回踩,-8.36,0,84.3,4.61,24.73,1.7,高位
缩量回踩,-14.24,0,82.2,5.27,24.25,4.89,高位
倍量柱,0.44,1,49.9,16.35,16.28,-6.46,中位
高量柱,0.44,1,49.9,16.35,16.28,-6.46,中位
将军柱,0.44,1,49.9,16.35,16.28,-6.46,中位
价升量缩,-1.51,0,54.6,14.58,17.55,-7.88,中位
价升量缩,-1.58,0,54.6,14.58,17.55,-1.52,中位
价升量缩,6.54,1,55.9,14.11,17.89,-0.41,中位
缩量回踩,7.34,1,49.0,16.68,16.05,2.89,中位
缩量回踩,11.23,1,48.6,16.84,15.93,0.14,中位
倍量柱,6.32,1,79.8,6.01,23.72,-7.93,高位
将军柱,6.32,1,79.8,6.01,23.72,-7.93,高位
价升量缩,8.12,1,86.2,4.02,25.16,-2.2,过峰
价升量缩,4.01,1,97.0,0.85,27.43,-5.17,过峰
价升量缩,2.85,1,102.0,-0.59,29.74,-8.19,过峰
价升量缩,-1.59,0,98.7,0.44,34.45,-6.76,过峰
价升量缩,3.24,1,77.2,9.7,32.75,1.35,高位
缩量回踩,6.16,1,74.0,11.2,31.83,1.09,高位
缩量回踩,-2.11,0,79.2,8.78,33.31,3.52,高位
价升量缩,-3.71,0,90.8,3.68,36.44,-1.33,过峰
缩量回踩,-0.72,0,87.1,5.25,35.48,1.46,过峰
价升量缩,2.78,1,88.0,4.85,35.72,1.29,过峰
价升量缩,2.37,1,90.6,3.79,36.37,0.27,过峰
倍量柱,-4.75,0,111.8,-4.51,42.7,-9.7,过峰
高量柱,-4.75,0,111.8,-4.51,42.7,-9.7,过峰
倍量过左峰,-4.75,0,111.8,-4.51,42.7,-9.7,过峰
高量柱,0.46,1,95.9,1.89,43.65,-11.2,过峰
价升量缩,0.6,1,75.7,12.37,38.51,8.25,高位
缩量回踩,5.27,1,45.0,29.26,23.95,3.13,中位
缩量回踩,11.25,1,45.6,28.88,24.18,1.53,中位
价升量缩,9.37,1,60.3,19.53,29.68,-5.84,中位
高量柱,-5.15,0,81.6,8.2,36.35,-5.68,高位
价升量缩,-0.4,0,77.8,10.05,35.26,0.2,高位
缩量回踩,-3.06,0,72.3,12.88,33.59,0.26,高位
缩量回踩,-4.71,0,69.1,14.59,32.58,1.67,高位
百日低量,-4.71,0,69.1,14.59,32.58,1.67,高位
缩量回踩,-5.58,0,62.4,18.3,30.4,0.49,中位
高量柱,-13.94,0,68.2,13.41,28.73,-4.76,高位
价升量缩,-15.77,0,49.2,22.2,21.47,10.54,中位
价升量缩,6.34,1,31.1,46.85,21.18,-5.43,低位
价升量缩,4.21,1,40.1,38.41,25.71,-0.38,中位
价升量缩,4.51,1,42.1,36.68,26.64,-1.62,中位
百日低量,4.51,1,42.1,36.68,26.64,-1.62,中位
价升量缩,-1.52,0,48.8,31.12,29.62,-5.63,中位
价升量缩,1.06,1,48.4,31.43,29.45,0.42,中位
价升量缩,-0.14,0,49.2,30.81,29.79,2.99,中位
价升量缩,-2.84,0,53.7,27.31,31.67,-1.1,中位
价升量缩,-1.51,0,56.9,23.06,30.46,1.83,中位
价升量缩,-6.22,0,60.0,21.06,31.59,0.17,中位
价升量缩,-5.92,0,60.2,20.92,31.67,0.06,中位
缩量回踩,-4.76,0,60.0,21.06,31.59,0.23,中位
百日低量,-4.76,0,60.0,21.06,31.59,0.23,中位
价升量缩,0.91,1,131.9,-9.05,37.42,-15.49,过峰
缩量回踩,14.56,1,68.7,17.81,39.14,3.72,高位
价升量缩,4.62,1,67.4,18.74,38.66,4.54,高位
价升量缩,1.9,1,76.3,12.95,41.65,-0.56,高位
价升量缩,0.02,1,77.3,12.31,41.98,10.07,高位
价升量缩,1.81,1,81.8,9.65,43.35,7.47,高位
价升量缩,-2.17,0,85.6,7.5,44.46,5.36,过峰
缩量回踩,10.58,1,81.4,9.85,43.25,2.37,高位
缩量回踩,12.0,1,79.4,11.07,42.62,1.11,高位
缩量回踩,9.91,1,83.5,8.66,43.86,1.08,高位
价升量缩,0.21,1,91.5,4.57,49.27,-8.65,过峰
价升量缩,-3.38,0,89.9,5.53,49.43,-0.65,过峰
缩量回踩,-12.49,0,80.8,11.55,48.68,9.9,高位
缩量回踩,-11.58,0,79.5,12.48,48.25,0.33,高位
价升量缩,-9.18,0,74.2,16.15,46.56,-8.93,高位
缩量回踩,-8.35,0,73.4,16.75,46.29,0.17,高位
价升量缩,-16.32,0,66.0,22.46,43.66,3.8,高位
倍量柱,-3.65,0,43.6,43.83,33.83,-4.26,中位
高量柱,-3.65,0,43.6,43.83,33.83,-4.26,中位
将军柱,-3.65,0,43.6,43.83,33.83,-4.26,中位
价升量缩,0.17,1,44.4,42.92,34.25,-3.38,中位
高量柱,-7.95,0,50.7,36.29,37.3,-4.03,中位
缩量回踩,-3.46,0,42.7,44.75,33.4,2.57,中位
价升量缩,-0.26,0,44.7,42.62,34.39,1.05,中位
价升量缩,-5.76,0,50.0,36.84,36.84,-1.42,中位
价升量缩,-5.45,0,42.6,39.96,29.61,2.28,中位
价升量缩,-7.68,0,41.7,39.09,27.98,-3.7,中位
缩量回踩,-6.49,0,40.5,40.25,27.39,0.83,中位
百日低量,-6.49,0,40.5,40.25,27.39,0.83,中位
缩量回踩,-4.22,0,39.7,40.83,26.88,0.42,中位
百日低量,-4.22,0,39.7,40.83,26.88,0.42,中位
缩量回踩,-4.24,0,38.6,41.72,26.21,0.63,中位
百日低量,-4.24,0,38.6,41.72,26.21,0.63,中位
高量柱,-0.06,0,24.3,40.83,13.12,-5.83,低位
价升量缩,0.94,1,28.6,37.68,15.07,-7.94,低位
倍量柱,-1.7,0,32.4,34.93,16.77,-5.39,低位
高量柱,-1.7,0,32.4,34.93,16.77,-5.39,低位
将军柱,-1.7,0,32.4,34.93,16.77,-5.39,低位
价升量缩,-16.12,0,34.4,33.6,17.59,-0.79,低位
价升量缩,-15.16,0,31.3,35.74,16.27,0.8,低位
价升量缩,-2.17,0,12.6,40.64,5.88,0.0,凹底
倍量柱,0.7,1,20.7,35.57,9.28,-3.09,低位
高量柱,0.7,1,20.7,35.57,9.28,-3.09,低位
将军柱,0.7,1,20.7,35.57,9.28,-3.09,低位
价升量缩,-1.87,0,21.8,34.87,9.74,-3.59,低位
价升量缩,-8.49,0,31.0,29.56,13.3,-5.67,低位
价升量缩,-9.21,0,31.6,29.24,13.51,-5.9,低位
价升量缩,-8.96,0,31.6,29.24,13.51,-0.25,低位
缩量回踩,0.17,1,23.6,33.84,10.43,0.51,低位
价升量缩,4.69,1,25.9,32.49,11.34,0.76,低位
价升量缩,-0.09,0,26.4,32.16,11.56,0.5,低位
缩量回踩,1.67,1,25.9,32.49,11.34,0.76,低位
倍量柱,-5.11,0,41.4,24.06,16.98,-5.66,中位
高量柱,-5.11,0,41.4,24.06,16.98,-5.66,中位
将军柱,-5.11,0,41.4,24.06,16.98,-5.66,中位
倍量过左峰,-5.11,0,41.4,24.06,16.98,-5.66,中位
缩量回踩,3.49,1,35.6,27.05,14.98,-5.8,中位
缩量回踩,-1.1,0,34.5,27.67,14.56,-5.34,低位
价升量缩,-3.68,0,43.1,23.19,17.56,-8.67,中位
缩量回踩,-6.41,0,46.6,21.48,18.71,-9.93,中位
价升量缩,-4.91,0,39.1,25.24,16.19,2.62,中位
倍量柱,-3.17,0,47.1,21.2,18.89,-6.68,中位
高量柱,-3.17,0,47.1,21.2,18.89,-6.68,中位
将军柱,-3.17,0,47.1,21.2,18.89,-6.68,中位
价升量缩,-7.49,0,49.4,20.09,19.63,-0.23,中位
价升量缩,-8.64,0,44.2,14.57,11.56,-0.25,中位
价升量缩,-2.67,0,10.5,42.95,5.02,-0.31,凹底
价升量缩,3.59,1,11.1,42.5,5.31,-0.63,凹底
倍量柱,-0.2,0,20.9,36.12,9.55,-5.67,低位
高量柱,-0.2,0,20.9,36.12,9.55,-5.67,低位
倍量柱,1.0,1,19.6,36.94,9.01,-3.6,凹底
将军柱,1.0,1,19.6,36.94,9.01,-3.6,凹底
价升量缩,-1.69,0,22.9,34.91,10.36,-5.03,低位
倍量柱,-5.94,0,31.4,29.91,13.68,-4.56,低位
将军柱,-5.94,0,31.4,29.91,13.68,-4.56,低位
缩量回踩,-4.12,0,18.3,37.76,8.46,1.51,凹底
缩量回踩,-3.63,0,11.7,51.99,6.86,0.72,凹底
百日低量,-3.63,0,11.7,51.99,6.86,0.72,凹底
倍量柱,9.0,1,20.1,40.07,10.1,-5.92,低位
高量柱,9.0,1,20.1,40.07,10.1,-5.92,低位
将军柱,9.0,1,20.1,40.07,10.1,-5.92,低位
价升量缩,6.49,1,22.2,38.62,11.03,-6.9,低位
价升量缩,1.26,1,27.1,35.35,13.13,-9.09,低位
倍量柱,-13.13,0,40.3,27.22,18.35,-14.56,中位
