维度,分组值,持有天数,样本数,增量中位%,增量均值%,胜率%
右确认,True,5,5639,2.05,3.8,71.6
右确认,False,5,12721,1.98,3.67,70.2
右确认,True,10,5639,1.77,3.52,60.8
右确认,False,10,12721,1.62,3.64,59.7
右确认,False,20,12721,0.79,3.02,53.4
右确认,True,20,5639,0.77,2.81,53.1
